"aluno_id","escola_id","tamanho_escola","grupo","horas_estudo","desempenho"
1,1,32,"A",12.2,78.9258668330215
2,1,32,"B",16.1,74.5741004180978
3,1,32,"B",14.1,68.1398787362747
4,1,32,"A",13.7,62.9800932249744
5,1,32,"A",11.2,68.9599158664758
6,1,32,"A",14.9,75.447204698596
7,1,32,"A",11.9,58.7455791906296
8,1,32,"B",8.4,51.8131640837234
9,1,32,"A",13.5,71.7235769563089
10,1,32,"B",18.7,71.4988027573519
11,1,32,"A",12.7,79.8389223998646
12,1,32,"A",17.5,67.3924047674159
13,1,32,"B",8.6,50.5087750839751
14,1,32,"B",14.8,71.6412164791168
15,1,32,"A",17.1,79.3940407233721
16,1,32,"A",16.3,75.7050491659979
17,1,32,"A",15.5,72.2831229017217
18,1,32,"B",12.5,71.780406602614
19,1,32,"A",11.7,61.4029148484503
20,1,32,"A",11,68.3159354675425
21,1,32,"A",15.5,66.5805018658216
22,1,32,"B",11.3,60.5148411621921
23,1,32,"B",13.1,70.503723748735
24,1,32,"A",14,74.2917192681206
25,1,32,"A",22.4,76.647027479646
26,1,32,"B",12.4,56.192179580164
27,1,32,"B",16,65.7892001785951
28,1,32,"A",15.4,57.0983760971556
29,1,32,"B",11.2,67.8321374826647
30,1,32,"A",14.8,76.8781501621046
31,1,32,"A",20.8,95.6154331613878
32,1,32,"B",16.9,68.1921729489023
33,2,39,"B",15.3,69.1696974976675
34,2,39,"B",13.4,69.2319295934408
35,2,39,"A",6.9,62.2506642776499
36,2,39,"A",19.6,73.0132134849543
37,2,39,"A",9.3,71.3846574373078
38,2,39,"A",18.1,74.1124867189144
39,2,39,"A",22.7,91.9313645959091
40,2,39,"A",9.3,50.9162535421789
41,2,39,"A",17.9,75.5521226773631
42,2,39,"B",14.1,73.9161978473777
43,2,39,"A",8.8,59.2624726049971
44,2,39,"B",9,59.6705058414298
45,2,39,"A",8.7,57.9481259191194
46,2,39,"A",13,70.3273656547302
47,2,39,"A",9.3,74.0483868740935
48,2,39,"A",17.9,68.6556071090675
49,2,39,"A",23.5,84.4579723276074
50,2,39,"B",10,61.1394650829173
51,2,39,"B",18.3,88.7556257717973
52,2,39,"B",18.2,92.7218254592152
53,2,39,"B",16.4,78.6058650227126
54,2,39,"A",11.1,67.1804870009014
55,2,39,"A",14.6,82.8299984239056
56,2,39,"A",14,67.3070789468947
57,2,39,"B",17.4,75.6454369482371
58,2,39,"A",13.6,78.8018286331637
59,2,39,"B",19,79.3457098831799
60,2,39,"A",13.6,66.5966972268956
61,2,39,"A",19.3,80.4298908147634
62,2,39,"A",10.9,62.7689293959441
63,2,39,"B",10.1,80.1093473830942
64,2,39,"B",28.1,89.0842111432585
65,2,39,"A",13.4,77.6261006588454
66,2,39,"B",16.3,74.4591230351842
67,2,39,"A",17.6,87.0428082938775
68,2,39,"A",13.2,77.2457947784911
69,2,39,"A",17.2,70.6099445795592
70,2,39,"B",16.6,77.1564607637771
71,2,39,"B",14.2,70.1334685749641
72,3,94,"A",15.4,77.1222628652263
73,3,94,"A",15,72.1291127150688
74,3,94,"A",23.7,89.3126772260673
75,3,94,"A",12.2,67.3641671673559
76,3,94,"A",10.8,73.8451392208152
77,3,94,"A",15.3,75.4553355458235
78,3,94,"A",16.4,64.0730765851609
79,3,94,"B",16.9,75.1841625644995
80,3,94,"A",13.3,67.256696762133
81,3,94,"B",10.9,75.2814939091422
82,3,94,"A",20.2,71.0866453051141
83,3,94,"A",13.8,54.340040258385
84,3,94,"A",11.7,71.2914026371788
85,3,94,"B",14.2,78.8356965129813
86,3,94,"A",14.4,75.2232828489336
87,3,94,"B",19.6,90.2222612041188
88,3,94,"A",15.5,80.46564550164
89,3,94,"A",18.2,69.8575189473537
90,3,94,"B",13.2,77.2441999547746
91,3,94,"B",16,69.2897868732883
92,3,94,"A",13.9,79.6907004643632
93,3,94,"A",15.5,81.1930552610587
94,3,94,"A",11.6,67.0016956788344
95,3,94,"B",9.9,73.3934972667726
96,3,94,"A",23.1,82.506819822473
97,3,94,"A",17.6,84.4880447926587
98,3,94,"A",10.1,46.6985235984772
99,3,94,"A",12.7,60.6388617668935
100,3,94,"A",10.4,66.7804593964151
101,3,94,"A",23.9,81.7647226421742
102,3,94,"B",20.4,59.2563341072625
103,3,94,"B",14.1,64.4681550049793
104,3,94,"B",17.3,88.8616686863477
105,3,94,"B",13.5,60.5797688794209
106,3,94,"B",13.2,71.1355043292806
107,3,94,"A",12,64.0488108382101
108,3,94,"A",12.8,69.3465280140732
109,3,94,"B",21.8,81.2810804184246
110,3,94,"A",14.9,71.2626860948659
111,3,94,"B",15.6,72.4199347586416
112,3,94,"A",16.1,56.7340512846005
113,3,94,"B",20.1,80.154476677001
114,3,94,"A",13.1,70.6768157187878
115,3,94,"B",11.2,70.098693500677
116,3,94,"A",21.9,93.7879133834118
117,3,94,"B",13.4,70.3940811215908
118,3,94,"A",12.3,70.6161751679349
119,3,94,"A",10.2,53.8787495218026
120,3,94,"A",10,65.7965974474053
121,3,94,"A",12.9,56.9063849731387
122,3,94,"B",17.6,92.3879144401872
123,3,94,"A",19.6,76.5438194492176
124,3,94,"A",18,79.8172871202108
125,3,94,"B",13.7,74.0806863874397
126,3,94,"B",15.4,62.6400561459622
127,3,94,"A",12.3,72.1850468591974
